name,survey,n_obs,baseline_d,mag_median,amplitude,period_ls,power_ls,fap_ls,sl_ls,cov_ls,has_minent,period_me,entropy_me,sl_me,cov_me,dP,dP_rel,agree,harmonic
OGLE_00,OGLE,665,2246.8068699999994,14.052,0.21499999999999986,4.717400749864963,0.9425731448928039,0.0,24.10460980589694,1.0,False,,,,,,,False,
OGLE_01,OGLE,499,2246.9436799999994,16.62,0.45009999999999906,1.8334998011186283,0.7187978466164556,6.891017063532635e-133,17.461878239156643,1.0,False,,,,,,,False,
OGLE_02,OGLE,220,3603.8854700000957,17.5,0.22435000000000116,0.10299761788030329,0.9620910986753316,1.964665977507579e-150,16.933098850996164,1.0,True,0.10299800997894615,3.0710823815295263,22.913853105137083,1.0,-3.9209864285960627e-07,-3.8068564911084716e-06,True,≈ P_ME
OGLE_03,OGLE,110,684.1210800000008,14.8295,0.6190499999999979,0.5231835005308781,0.6855866181257877,4.849030083756291e-24,5.632695477085979,1.0,False,,,,,,,False,
OGLE_04,OGLE,268,2021.7683499999994,17.3425,0.263300000000001,0.30528424212687894,0.9299302527448094,3.3173942088969606e-149,19.832559378974356,1.0,False,,,,,,,False,
OGLE_05,OGLE,482,2246.8234199999997,18.84,0.5798499999999969,0.5316563280536287,0.6866675916230905,5.1603293039725945e-117,40.60397638457769,1.0,False,,,,,,,False,
OGLE_06,OGLE,2000,2714.7769199999993,17.628,0.259999999999998,0.2735215078353094,0.9045016715568168,0.0,132.96352531462972,1.0,False,,,,,,,False,
OGLE_07,OGLE,234,5193.848050000146,16.373,0.06869999999999976,4.634117117603212,0.16717560021448705,2.276523779478914e-06,35.039101640004404,1.0,False,,,,,,,False,
OGLE_08,OGLE,131,3121.7625500000004,15.35,0.18900000000000006,3.466020706852097,0.3520894196519319,1.6552973926955223e-09,24.873548006941085,1.0,False,,,,,,,False,
OGLE_09,OGLE,5680,5025.563850000035,19.441,0.3150499999999994,2.026717847037515,0.07062620251363014,1.0023683162565224e-85,703.9487416570344,1.0,False,,,,,,,False,
OGLE_0a,OGLE,913,5195.837160000112,17.958,0.24079999999999657,1.825801845300914,0.12199442575191992,3.6433253500427036e-22,89.63516135799367,1.0,False,,,,,,,False,
OGLE_0b,OGLE,527,2246.94402,16.938,0.22100000000000009,1.0075555626635755,0.9085307061088781,4.628637223689973e-268,32.9342502538777,1.0,False,,,,,,,False,
OGLE_0c,OGLE,157,1204.0578000000005,17.856,0.3338000000000001,0.2798893935794197,0.8867533785659104,1.2211908552018921e-69,11.175414858975257,1.0,False,,,,,,,False,
OGLE_0d,OGLE,731,2246.87046,15.702,0.5935000000000006,2.53858699000776,0.7781335237211835,5.635425247879331e-234,15.125468307138298,1.0,False,,,,,,,False,
OGLE_0e,OGLE,1198,2713.8410000000003,16.014499999999998,0.3301499999999997,0.62827896507363,0.7666410083095959,0.0,73.10141161470195,1.0,False,,,,,,,False,
OGLE_0f,OGLE,670,2246.8068699999994,15.236,0.6125500000000006,3.113729220416343,0.7543687629109161,2.167991233619027e-199,16.946973327664566,1.0,False,,,,,,,False,
OGLE_10,OGLE,895,5181.846880000085,19.332,0.3619000000000021,0.9973750653078772,0.1503669345923519,5.6890974684989625e-28,155.251547143695,0.95,False,,,,,,,False,
OGLE_11,OGLE,700,5174.85783999972,18.486,0.3531499999999994,1.8483049201737682,0.10061309481992688,1.0901997443071195e-12,37.7005879439092,1.0,False,,,,,,,False,
OGLE_12,OGLE,746,2246.85124,15.435,0.21799999999999997,1.9744117850173235,0.9551368113206264,0.0,42.91416132019275,1.0,True,1.9746637966784493,2.991670213827129,65.19586005269274,1.0,-0.0002520116611257617,-0.00012762256620578476,True,≈ P_ME
OGLE_13,OGLE,436,2233.8686,14.488,0.32399999999999984,4.654020320472939,0.7939136733387102,9.81362447731883e-145,11.030075886955553,1.0,False,,,,,,,False,
OGLE_14,OGLE,113,495.80229000002146,15.937,0.4181999999999988,0.1594896398075368,0.86189847980515,1.8661257863282574e-44,8.944751890155278,1.0,False,,,,,,,False,
OGLE_15,OGLE,5754,5195.859850000124,20.192,0.575999999999997,0.22612042749367506,0.2384921227348483,0.0,761.9943479808501,1.0,False,,,,,,,False,
OGLE_16,OGLE,229,1968.5820400000002,15.532,0.11660000000000181,0.1003315987859569,0.9875463511820187,2.4418522741704944e-211,20.70768487750352,1.0,True,0.10033277027111771,3.1274881554645164,34.21395164505056,1.0,-1.1714851608085608e-06,-1.167599736001499e-05,True,≈ P_ME
OGLE_17,OGLE,470,2246.8200400000005,18.898,0.703750000000003,0.5234924186322382,0.7214647768228352,7.090932046583338e-126,40.807593562945584,1.0,False,,,,,,,False,
OGLE_18,OGLE,490,2243.96543,15.784,0.5001000000000015,3.1410642338452637,0.7391084548341903,2.5560090411896533e-138,11.402477747922084,1.0,False,,,,,,,False,
OGLE_19,OGLE,487,2216.9382300000007,17.004,0.4117000000000033,0.861350357666159,0.8822725237300783,7.053106668323721e-221,22.502710533552353,1.0,False,,,,,,,False,
OGLE_1a,OGLE,671,2246.8068699999994,15.07,0.4560000000000013,3.3361118044948475,0.7694458113151826,7.246878916203846e-209,10.37539181198452,1.0,False,,,,,,,False,
OGLE_1b,OGLE,100,4598.117659999989,14.8605,0.23819999999999908,0.17233024632195157,0.9499350530344612,6.96978933516834e-60,8.752051666366048,1.0,False,,,,,,,False,
OGLE_1c,OGLE,2000,2676.82272,15.98,0.27999999999999936,0.3652080869909635,0.8078214726928391,0.0,174.71600004380457,1.0,False,,,,,,,False,
OGLE_1d,OGLE,596,2394.7114199999996,17.012,0.17275000000000063,0.12487563220459064,0.0876102154876765,1.2805406692729124e-08,158.38895368644575,1.0,False,,,,,,,False,
OGLE_1e,OGLE,524,2246.94402,16.5935,0.6540999999999997,1.7613497531048974,0.6767945025304976,4.826213292577626e-124,11.338461725960348,1.0,False,,,,,,,False,
OGLE_1f,OGLE,104,404.8767400000015,17.9045,0.3146500000000003,0.17733735966900127,0.19179938520981157,0.026239909255486138,26.19222749081847,1.0,False,,,,,,,False,
OGLE_20,OGLE,770,2246.85124,15.687,0.17600000000000016,1.565220845855314,0.964173051932992,0.0,34.27188786049333,1.0,True,1.000045004275406,3.140552676679469,260.03095685907954,0.6,0.565175841579908,0.5651504073953276,False,sin armónico simple
OGLE_21,OGLE,1377,3501.7463100000004,14.205,0.036000000000001364,0.997144372275067,0.03433628865960273,7.12188646955885e-07,315.99903424919586,0.85,False,,,,,,,False,
OGLE_22,OGLE,209,2236.8866499999995,18.859,0.5065999999999988,0.5733418297653825,0.632070609187166,1.1997672370180684e-41,19.681496048283975,1.0,False,,,,,,,False,
OGLE_23,OGLE,146,2505.169240000001,17.6095,0.2497499999999988,0.13324434932545268,0.6354452835265854,1.4250683952442182e-28,20.093150981975125,1.0,False,,,,,,,False,
OGLE_24,OGLE,467,2708.8188,15.97,0.2900000000000009,0.2688391892979466,0.9398478137266509,4.778325548505969e-279,21.691269776557924,1.0,False,,,,,,,False,
OGLE_25,OGLE,496,2246.9436799999994,15.628499999999999,0.22824999999999918,1.8886730411083188,0.9747982312481959,0.0,17.881006922552785,1.0,True,1.000045004275406,3.1231939669382385,182.98951296078556,0.5,0.8886280368329127,0.8885880465717422,False,sin armónico simple
OGLE_26,OGLE,121,1598.8619799999997,15.368,0.2400000000000002,0.29885906369330206,0.9790251430539278,1.3912836177467438e-95,7.439030035399102,1.0,True,1.000045004275406,2.9115460176224377,49.48611258877471,0.55,-0.701185940582104,-0.7011543856370306,False,sin armónico simple
OGLE_27,OGLE,438,2232.93149,16.691499999999998,0.10829999999999984,0.781320844966272,0.9327458466019939,6.515513932409172e-251,31.738424659671377,1.0,False,,,,,,,False,
OGLE_28,OGLE,5773,5195.8374299998395,18.572,0.15300000000000225,3.561759894111938,0.030813426278682464,7.753587742498219e-35,691.9806338832063,1.0,False,,,,,,,False,
OGLE_29,OGLE,128,3284.0477799996734,14.438500000000001,0.25125000000000064,0.26177922290125666,0.9718343606454019,1.920479275888758e-93,8.70914189710936,1.0,True,1.000045004275406,3.037307101626276,57.13487051733357,0.55,-0.7382657813741494,-0.7382325577528066,False,sin armónico simple
OGLE_2a,OGLE,719,2421.6348900000003,15.356,0.28609999999999935,0.3007060384788868,0.9171518692767962,0.0,59.48809140381068,1.0,False,,,,,,,False,
OGLE_2b,OGLE,5680,5195.859850000124,18.366,0.36599999999999966,1.013809302947746,0.2947149900313725,0.0,385.81834575128045,1.0,False,,,,,,,False,
